Nimi,Puolue,Luottamuselin teksti,Alku,Loppu,Luottamuselimen asema
Damskägg Yrjö,KESK,Päivähoito- ja varhaiskasvatustoimikunta,01.01.2012,31.12.2012,Jäsen
Edelmann-Lasanen Heidi,KESK,34. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Edelmann-Lasanen Heidi,KESK,Liikuntalautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Edelmann-Lasanen Heidi,KESK,Liikuntajaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Eerola Matti,KESK,Jkl:n kihlakunnan poliisin neuvotteluk.,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Eerola Mirja,KESK,3. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Eerola Mirja,KESK,3. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
El Massri Ahti,KESK,5. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
El Massri Ahti,KESK,5. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
El Massri Ahti,KESK,5. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
El Massri Ahti,KESK,Tulevaisuus- ja kaupunkisuunnittelulautakunta,08.12.2008,31.12.2012,Jäsen
El Massri Ahti,KESK,Sotepa/Vammaisneuvosto,17.03.2009,31.12.2012,Edustaja
Elgland Erja,VAS,17. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Elgland Erja,VAS,17. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Elgland Erja,VAS,17. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Elgland Erja,VAS,Tarkastuslautakunta,01.01.2009,31.12.2012,Jäsen
Elgland Erja,VAS,Tarkastuslautakunta/II-jaosto,02.02.2009,31.12.2012,Jäsen
Elonheimo Riitta,KOK,Jkl:n seudun kans.op.kuntayht. yhtymähallitus,01.01.2005,31.12.9999,Jäsen
Eloranta Tamara,KOK,Kylän Kattauksen johtokunta,19.01.2009,31.12.2012,Jäsen
Elsilä Susanna,EI,19. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Elsilä Susanna,SKP,19. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Elsilä Susanna,EI,19. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Elsilä Susanna,SKP,19. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Era Hanna,SKP,9. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Era Hanna,SKP,9. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Era Hanna,SKP,9. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Era Hanna,SKP,Tulevaisuus- ja kaupunkisuunnittelulautakunta,08.12.2008,31.12.2012,Jäsen
Era Hanna,SKP,Organisaatiotoimikunta,15.02.2010,31.12.2012,Henkilökohtainen varajäsen
Erho Mari,KOK,Joukkoliikennelautakunta,01.01.2012,31.12.2012,Henkilökohtainen varajäsen
Eronen Tahvo,EI,Jyväskylän asumispalvelusäätiön valtuusk.,01.01.2006,31.12.9999,Varajäsen
Eräpohja Liisa,KOK,27. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
