Nimi,Puolue,Luottamuselin teksti,Alku,Loppu,Luottamuselimen asema
Savolainen Erkki,KESK,13. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Savolainen Erkki,KESK,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.01.2011,31.12.2012,Jäsen
Savolainen Erkki,KESK,Liikuntajaosto,01.01.2011,31.12.2012,Jäsen
Savolainen Erkki,KESK,Kaupunginvaltuusto,18.01.2011,31.12.2012,15. varajäsen
Savolainen Juha,SDP,5. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Savolainen Juha,SDP,5. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Savolin Reijo,KOK,Kaupunginhallitus,03.11.2008,12.01.2009,Henkilökohtainen varajäsen
Savolin Reijo,KOK,Kaupunkirakennelautakunta,08.12.2008,12.01.2009,Jäsen
Savolin Reijo,KOK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Savolin Reijo,KOK,8. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Savolin Reijo,KOK,Kaupunginhallitus,01.08.2010,31.12.2010,Henkilökohtainen varajäsen
Savolin Reijo,KOK,8. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Savolin Reijo,KOK,Ilmasto-ohjelmatyön ohjausryhmä,13.09.2010,22.08.2011,Henkilökohtainen varajäsen
Savolin Reijo,KOK,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Savolin Reijo,KOK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Savolin Reijo,KOK,Kaupunkirakennelautakunta,13.01.2009,31.12.2012,Varapuheenjohtaja
Savolin Reijo,KOK,Maakuntavaltuusto,11.03.2009,31.12.2012,Henkilökohtainen varajäsen
Savolin Reijo,KOK,Yleiskaavatoimikunta,15.02.2010,31.12.2012,Jäsen
Savolin Reijo,KOK,Kaupunginhallitus,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Selin Jaakko,KOK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Selin Jaakko,KOK,13. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Selin Jaakko,KOK,Kaupunginhallitus,03.11.2008,31.12.2010,Jäsen
Selin Jaakko,KOK,Tulevaisuus- ja kaupunkisuunnittelulautakunta,01.01.2009,31.12.2010,Edustaja
Selin Jaakko,KOK,Taloustoimikunta,02.02.2009,31.12.2010,Jäsen
Selin Jaakko,KOK,Tilapalvelun johtokunta,19.01.2009,31.01.2011,Henkilökohtainen varajäsen
Selin Jaakko,KOK,13. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Selin Jaakko,KOK,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Selin Jaakko,KOK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Selin Jaakko,KOK,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Selin Jaakko,KOK,Organisaatiotoimikunta,15.02.2010,31.12.2012,Jäsen
Selin Jaakko,KOK,Kaupunginhallitus,01.01.2011,31.12.2012,Jäsen
Selin Jaakko,KOK,Rakennus- ja ympäristölautakunta,17.01.2011,31.12.2012,Edustaja
Selin Jaakko,KOK,Tilapalvelun johtokunta,01.02.2011,31.12.2012,Jäsen
Selin Kristiina,KOK,2. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Selin Kristiina,KOK,2. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Selin Kristiina,KOK,2. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Selin Pirkko,KESK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Selin Pirkko,KESK,Kaupunginhallitus,03.11.2008,31.12.2010,1. varapuheenjohtaja
Selin Pirkko,KESK,Kulttuurilautakunta,01.01.2009,31.12.2010,Edustaja
Selin Pirkko,KESK,Taloustoimikunta,02.02.2009,31.12.2010,1. varapuheenjohtaja
Selin Pirkko,KESK,Ilmasto-ohjelmatyön ohjausryhmä,13.09.2010,22.08.2011,Puheenjohtaja
Selin Pirkko,KESK,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Selin Pirkko,KESK,Tilapalvelun johtokunta,01.01.2009,31.12.2012,Jäsen
Selin Pirkko,KESK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Selin Pirkko,KESK,Maakuntavaltuusto,11.03.2009,31.12.2012,Henkilökohtainen varajäsen
Selin Pirkko,KESK,Organisaatiotoimikunta,15.02.2010,31.12.2012,Jäsen
Selin Pirkko,KESK,Juhlatoimikunta (175-v),01.06.2010,31.12.2012,Jäsen
Selin Pirkko,KESK,Kaupunginhallitus,01.01.2011,31.12.2012,Vpj/valtuusto ja hallitus
Selin Pirkko,KESK,"Kulttuuri-, liikunta- ja nuorisolautakunta",31.01.2011,31.12.2012,Edustaja
Selin Riitta,KD,2. Vaalitoimikunta,27.04.2009,07.06.2009,Jäsen
Selin Riitta,KD,2. Vaalitoimikunta,24.03.2011,17.04.2011,Jäsen
Selin Riitta,KD,2. Vaalitoimikunta,08.12.2011,05.02.2012,Jäsen
Seppä Elina,KESK,21. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Seppä Elina,KESK,21. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Seppä Elina,KESK,21. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Seppälä Jussi,KOK,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,31.12.2012,Jäsen
Seppälä Oiva,VAS,28. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Seppälä Oiva,VAS,28. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Seppänen Henri,KESK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2009,31.12.2010,Henkilökohtainen varajäsen
Seppänen Henri,KESK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Setälä Viivi,EI,Nuorisolautakunta,16.09.2010,31.12.2011,Edustaja
Shaneen Anwar,KESK,11. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Siekkinen Tapio,VAS,33. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Siekkinen Tapio,VAS,33. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Siekkinen Tapio,VAS,33. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Siekkinen Terttu,VAS,31. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Siekkinen Terttu,VAS,31. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Siekkinen Terttu,VAS,31. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Sihvonen Maija,SDP,5. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Sihvonen Maija,SDP,5. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Sihvonen Maija,SDP,5. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Sihvonen Ulla Sinikka,VIHR,11. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Sihvonen Ulla Sinikka,VIHR,11. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Sihvonen Ulla Sinikka,VIHR,Kylän Kattauksen johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Siikki Mikko,KESK,31. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Siikki Mikko,KESK,31. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Siikki Mikko,KESK,31. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Siivinen Tuomo,KOK,35. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Siivinen Tuomo,KOK,35. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Siivinen Tuomo,KOK,3. Vaalitoimikunta,24.03.2011,17.04.2011,Puheenjohtaja
Siivinen Tuomo,KOK,35. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Siivinen Tuomo,KOK,3. Vaalitoimikunta,08.12.2011,05.02.2012,Puheenjohtaja
Siivola Sami,SKP,1. Vaalitoimikunta,24.03.2011,17.04.2011,4. varajäsen
Siivola Sami,SKP,1. Vaalitoimikunta,08.12.2011,05.02.2012,4. varajäsen
Sillgrén Reijo,KESK,Liikuntalautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Sillgrén Reijo,KESK,Liikuntajaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Sillman Aino,SKP,12. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Sillman Aino,SKP,12. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Simanainen Niina,VIHR,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2009,31.12.2009,Henkilökohtainen varajäsen
Simanainen Niina,VIHR,Kulttuurilautakunta,08.12.2008,31.12.2010,Jäsen
Simanainen Niina,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,3. varajäsen
Simanainen Niina,VIHR,Sivistyslautakunta,18.01.2011,31.12.2012,Jäsen
Simola Eila,SDP,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Simola Eila,SDP,32. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Simola Eila,SDP,32. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Simola Eila,SDP,32. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Simola Eila,SDP,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Simola Eila,SDP,Tulevaisuus- ja kaupunkisuunnittelulautakunta,08.12.2008,31.12.2012,Puheenjohtaja
Simola Eila,SDP,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Simola Eila,SDP,Kylän Kattauksen johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Simola Eila,SDP,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Simola Eila,SDP,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Simola Eila,SDP,Organisaatiotoimikunta,15.02.2010,31.12.2012,Jäsen
Simonen Satu,SKP,17. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Simonen Satu,SKP,17. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Simonen Satu,SKP,17. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Simonen Satu,SKP,Altek Aluetekniikan johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Sinervä Juhani,KD,39. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Sinervä Juhani,KD,39. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Sinervä Juhani,KD,39. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Sinikorpi Annemari,SDP,29. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Sinikorpi Annemari,SDP,29. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Sinikorpi Annemari,SDP,29. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Sintonen Teppo,VIHR,Jyväskylän Seudun Työterveyden jk,19.01.2009,31.03.2011,Henkilökohtainen varajäsen
Sintonen Teppo,VIHR,Jyväskylän Seudun Työterveyden jk,01.04.2011,31.12.2012,Henkilökohtainen varajäsen
Sipilä Rami,KD,17. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Sipilä Rami,KD,Liikuntalautakunta,08.12.2008,23.08.2010,Jäsen
Sipilä Rami,KD,17. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Sipilä Rami,KD,Kaupunginvaltuusto,03.11.2008,19.09.2011,1. varajäsen
Sipilä Rami,KD,17. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Sipilä Rami,KD,Sivistyslautakunta,24.08.2010,31.12.2012,Jäsen
Sipilä Rami,KD,Kaupunginvaltuusto,20.09.2011,31.12.2012,Jäsen
Sipilä Rami,KD,Maakuntavaltuusto,20.09.2011,31.12.2012,Henkilökohtainen varajäsen
Sipinen Raija,KD,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Sipinen Raija,KD,33. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Sipinen Raija,KD,Kaupunginhallitus,03.11.2008,31.12.2010,Henkilökohtainen varajäsen
Sipinen Raija,KD,Taloustoimikunta,02.02.2009,31.12.2010,Henkilökohtainen varajäsen
Sipinen Raija,KD,33. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Sipinen Raija,KD,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Sipinen Raija,KD,Perusturvalautakunta,08.12.2008,31.12.2012,Jäsen
Sipinen Raija,KD,Yksilöhuoltojaosto/Sos.ja.terv.ltk,22.01.2009,31.12.2012,Jäsen
Sipinen Raija,KD,Maakuntavaltuusto,11.03.2009,31.12.2012,Henkilökohtainen varajäsen
Sipinen Raija,KD,Kaupunginhallitus,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Sipinen Seija,KOK,24. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Sipinen Seija,KOK,29. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Sipinen Seija,KOK,29. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Sirkeinen Tytti,KOK,30. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Sirkeinen Tytti,KOK,23. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Siuruainen Heikki,KESK,18. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Siuruainen Heikki,KESK,18. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Siuruainen Heikki,KESK,18. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Sivill Sirkka,SDP,23. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Sivill Sirkka,SDP,Liikuntalautakunta,08.12.2008,31.12.2010,Jäsen
Sivill Sirkka,SDP,23. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Sivill Sirkka,SDP,23. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Sivill Sirkka,SDP,Liikuntajaosto,01.01.2011,31.12.2012,Jäsen
Sivonen Heikki,KOK,30. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Sivonen Heikki,KOK,Kaupunginvaltuusto,03.11.2008,16.11.2009,16. varajäsen
Sivonen Heikki,KOK,Nuorisolautakunta,08.12.2008,16.11.2009,Jäsen
Sivonen Heikki,KOK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2009,16.11.2009,Jäsen
Soini Tapio,EI,Jyväskylän mlk:n historiatoimikunta,27.10.2008,31.12.2011,Jäsen
Solanti Matti,VAS,24. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Solanti Matti,VAS,24. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Solanti Matti,VAS,24. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Solla Mirja,VAS,6. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Sompa Mauri,KOK,Kiinteistötoimitusten uskotut miehet,12.01.2009,31.12.2012,Jäsen
Sompa Mauri,KOK,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Sopo Elina,KESK,8. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Sopo Raimo,KESK,12. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Sopo Raimo,KESK,12. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Sorri Katja,KESK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Sorri Katja,KESK,Kaupunginvaltuusto,03.11.2008,31.12.2010,1. varapuheenjohtaja
Sorri Katja,KESK,Taloustoimikunta,02.02.2009,31.12.2010,Jäsen
Sorri Katja,KESK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Sorri Katja,KESK,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Sorri Katja,KESK,Organisaatiotoimikunta,15.02.2010,31.12.2012,Jäsen
Sorri Katja,KESK,Juhlatoimikunta (175-v),01.06.2010,31.12.2012,Jäsen
Sorri Katja,KESK,Kaupunginvaltuusto,01.01.2011,31.12.2012,Vpj/valtuusto ja hallitus
Sotamaa Erkki,KOK,16. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Sotamaa Juho,KOK,14. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Soukka Mari,KESK,25. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Soukka Mari,KESK,25. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Soukka Mari,KESK,Talouspalvelukeskuksen johtokunta,19.01.2009,20.06.2011,Jäsen
Soukka Mari,KESK,25. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Soukka Mari,KESK,Tarkastuslautakunta,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Springare Esa,VAS,Jyväskylän Taiteilijatalosäätiön hallitus,01.01.2007,31.12.2009,Jäsen
Springare Esa,VAS,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2009,31.12.2009,Henkilökohtainen varajäsen
Springare Esa,VAS,Kylän Kattauksen johtokunta,19.01.2009,31.12.2012,Jäsen
Stahl Marjatta,SDP,6. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Stahl Marjatta,SDP,6. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Stahl Miika,SDP,13. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Stahl Miika,SDP,13. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Starczewski Juhani,KD,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Starczewski Juhani,KD,9. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Starczewski Juhani,KD,10. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Starczewski Juhani,KD,Sivistyslautakunta,08.12.2008,23.08.2011,Jäsen
Starczewski Juhani,KD,10. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Starczewski Juhani,KD,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Starczewski Juhani,KD,Tilapalvelun johtokunta,01.01.2009,31.12.2012,Jäsen
Starczewski Juhani,KD,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Starczewski Juhani,KD,Kaupunkirakennelautakunta,24.08.2010,31.12.2012,Jäsen
Starczewski Juhani,KD,Laajennettu puheenjohtajisto,20.09.2011,31.12.2012,Jäsen
Starczewski Terttu,KD,2. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Stenman-Kässi Liisa,KESK,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Stenman-Kässi Liisa,KESK,Terveydenhuollon jaosto,18.11.2010,31.12.2012,Henkilökohtainen varajäsen
Strahl Patrik,KOK,K-S opiskelija-asuntosäätiön valtuuskunta,19.01.2010,31.12.2010,Henkilökohtainen varajäsen
Strahl Patrik,KOK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Suhonen Eetu,SKP,2. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Suhonen Eetu,SKP,2. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Suhonen Eetu,SKP,2. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Suhonen Kari,SDP,Korpilahden aluelautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Sukanen Pentti,KESK,Ympäristöterveysjaosto,22.01.2009,31.12.2012,Jäsen
Sumelles Kalle,SDP,Kulttuurilautakunta,12.10.2010,31.12.2010,Henkilökohtainen varajäsen
Sumelles Kalle,SDP,Kulttuurijaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Suntioinen Mauno,SKP,27. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Suntioinen Mauno,SKP,27. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Suntioinen Mauno,SKP,27. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Suomi Kimmo,SDP,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Suomi Kimmo,SDP,Liikuntalautakunta,08.12.2008,31.12.2010,Puheenjohtaja
Suomi Kimmo,SDP,Maakuntavaltuusto,11.03.2009,06.06.2011,Henkilökohtainen varajäsen
Suomi Kimmo,SDP,Laajennettu puheenjohtajisto,01.01.2009,22.08.2011,Jäsen
Suomi Kimmo,SDP,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.01.2011,22.08.2011,Varapuheenjohtaja
Suomi Kimmo,SDP,Liikuntajaosto,01.01.2011,13.09.2011,Puheenjohtaja
Suomi Kimmo,SDP,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Suomi Kimmo,SDP,Maakuntavaltuusto,07.06.2011,31.12.2012,Jäsen
Suominen Timo,EI,6. Vaalitoimikunta,27.04.2009,07.06.2009,2. varajäsen
Suominen Timo,EI,37. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Suominen Timo,EI,37. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Suominen Timo,EI,6. Vaalitoimikunta,24.03.2011,17.04.2011,2. varajäsen
Suominen Timo,EI,37. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Suominen Timo,EI,6. Vaalitoimikunta,08.12.2011,05.02.2012,2. varajäsen
Suominen Timo,EI,Keskusvaalilautakunta,03.11.2008,31.12.2012,7. varajäsen
Suomäki Pekka,EI,Korpilahden kunnan historiatoimikunta,01.01.2008,31.12.2012,Jäsen
Suoranta Elina,EI,6. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Suoranta Elina,EI,6. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Suoranta Elina,EI,6. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Suortti Juho,SDP,Nuorisolautakunta,24.08.2009,31.12.2010,Henkilökohtainen varajäsen
Suortti Juho,SDP,19. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Suortti Juho,SDP,Kulttuurijaosto,01.01.2011,13.09.2011,Henkilökohtainen varajäsen
Suuronen Erkki,SDP,30. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Suuronen Erkki,SDP,30. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Suuronen Erkki,SDP,30. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Säilä Marjut,KOK,Kulttuurilautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Säilä Marjut,KOK,Kulttuurijaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Säkkinen Sanna-Mari,VIHR,34. Vaalilautakunta,18.05.2009,07.06.2009,1. varajäsen
Säkkinen Sanna-Mari,VIHR,34. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Säkkinen Sanna-Mari,VIHR,34. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Särkkä Virve,VAS,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2010,31.12.2011,Jäsen
Takkinen Kyösti,SDP,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Talasniemi Jussi,KOK,18. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Talasniemi Jussi,KOK,18. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Talonen Hanna,EI,3. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Tamminen Anna,KOK,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,21.09.2009,2. varapuheenjohtaja
Tamminen Pekka,SDP,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Tamminen Pekka,SDP,Kylän Kattauksen johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Tamminen Satu,EI,Viitaniemen alueen aluejk,25.09.2008,31.07.2009,
Tanskanen Jani,KESK,Kaupunginvaltuusto,03.11.2008,21.09.2009,11. varajäsen
Tanskanen Jani,KESK,Liikuntalautakunta,08.12.2008,21.09.2009,Jäsen
Tanskanen Kaija,KESK,1. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Tanskanen Kaija,KESK,1. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Tanskanen Kaija,KESK,1. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Taskinen Timo,KESK,35. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Taskinen Timo,KESK,Kaupunginhallitus,13.01.2009,22.02.2010,Henkilökohtainen varajäsen
Taskinen Timo,KESK,Kulttuurilautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Taskinen Timo,KESK,Taloustoimikunta,02.02.2009,31.12.2010,Henkilökohtainen varajäsen
Taskinen Timo,KESK,22. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Taskinen Timo,KESK,22. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Taskinen Timo,KESK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Taskinen Timo,KESK,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Puheenjohtaja
Taskinen Timo,KESK,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Taskinen Timo,KESK,Kulttuurijaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Tenhunen Teemu,VIHR,15. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Tenhunen Teemu,VIHR,5. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Tenhunen Teemu,VIHR,5. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Tervonen Marja-Riitta,KD,24. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Tervonen Marja-Riitta,KD,24. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Tervonen Marja-Riitta,KD,24. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Tilli Sami,VIHR,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2008,31.12.2009,Henkilökohtainen varajäsen
Toikkanen Allan,EI,1. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Toivainen Riitta,KESK,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Toivainen Riitta,KESK,16. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Toivainen Riitta,KESK,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2009,31.12.2009,Henkilökohtainen varajäsen
Toivainen Riitta,KESK,16. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Toivainen Riitta,KESK,16. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Toivanen Ilona,EI,4. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Toivanen Ilona,EI,4. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Toivanen Miika,KOK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2009,18.01.2010,Henkilökohtainen varajäsen
